"filename","category","tags"
"compass","Navigation","navigation,direction,map,orient"
"component","Design Tools","figma,design,creative,layout"
"compress","Other","squeeze,zip,shrink,minimize"
"compress-lines","Editor","squeeze,zip,shrink,minimize"
"computer","Devices","desktop,pc,monitor,workstation"
"constrained-surface","3D Editor","3d,modeling,mesh,render"
"consumable","Shopping","cart,buy,store,ecommerce"
"contactless","Finance","pay,payment,money,banking,budget"
"control-slider","System","controller,ui,element,dashboard,panel,setting,computer,os,settings,desktop,slider,handle,adjust,parameter"
"cookie","System","biscuit,food,privacy,data,tracking,site"
"cooling-square","Science","shape,box,checkbox,region"
"copy","Design Tools","duplicate,clipboard,clone,design,creative,layout,figma"
"copyright","Other","legal,license,ip,rights"
"corner-bottom-left","Layout","radius,edge,curve,layout"
"corner-bottom-right","Layout","radius,edge,curve,layout"
"corner-top-left","Layout","radius,edge,curve,layout"
"corner-top-right","Layout","radius,edge,curve,layout"
"cpu","System","processor,computer,pc,tech,os,settings,desktop"
"cpu-warning","System","processor,alert,caution,danger,computer,pc,tech,error,issue,attention"
"cracked-egg","Food","meal,restaurant,cooking,kitchen"
"creative-commons","Development","code,dev,programming,software"
"credit-card","Finance","payment,visa,checkout,billing"
"credit-card-slash","Finance","payment,visa,checkout,billing"
"credit-cards","Finance","money,payment,banking,budget"
"crib","Home","house,domestic,appliance,interior"
"crop","Design Tools","trim,edit,image,frame"
"crop-rotate-bl","Design Tools","cut,edit,image,trim,frame,spin,turn,orientation,pivot"
"crop-rotate-br","Design Tools","cut,edit,image,trim,frame,spin,turn,orientation,pivot"
"crop-rotate-tl","Design Tools","cut,edit,image,trim,frame,spin,turn,orientation,pivot"
"crop-rotate-tr","Design Tools","cut,edit,image,trim,frame,spin,turn,orientation,pivot"
"crown","Gaming","king,winner,vip,premium"
"crown-circle","Gaming","king,winner,vip,premium,round,radio,dot,shape"
"css3","Development","code,dev,programming,software"
"cube","3D Editor","modeling,blender,4d,solid,model,object,3d,box,volume"
"cube-bandage","3D Editor","patch,fix,band,aid,3d,box,volume,solid"
"cube-cut-with-curve","3D Editor","solid,3d,object,blender,box,volume,scissors,clip,edit,slice,bezier,spline,path,smooth"
"cube-hole","3D Editor","modeling,blender,4d,3d,box,volume,solid"
"cube-replace-face","3D Editor","3d,box,volume,solid"
"cursor-pointer","System","desktop,mouse,pointer,click,select"
"curve-array","3D Editor","bezier,spline,path,smooth"
"cut","Design Tools","scissors,clip,edit,slice"
"cutlery","Food","meal,restaurant,cooking,kitchen"
"cycling","Activities","bike,bicycle,sport,pedal"
"cylinder","3D Editor","shape,geometry,3d,modeling,mesh,render"
"dash-flag","Other","country,mark,pin,report"
"dashboard","System","accelerate,acceleration,panel,speed,metrics,analytics,home"
"dashboard-dots","System","accelerate,acceleration,panel,speed,metrics,analytics,home"
"dashboard-speed","System","accelerate,acceleration,panel,metrics,analytics,home"
"data-transfer-both","Connectivity","connection,computer,network,information,internet,signal,online"
"data-transfer-check","Connectivity","connection,computer,network,information,done,success,tick,approve,ok,complete"
"data-transfer-down","Connectivity","connection,computer,network,information,internet,signal,online"
"data-transfer-up","Connectivity","connection,computer,network,information,internet,signal,online"
"data-transfer-warning","Connectivity","connection,computer,network,information,alert,caution,danger,attention"
"database","Database","db,storage,repo,sql,server,data"
"database-backup","Database","db,storage,repo,sql,server,data"
"database-check","Database","db,storage,repo,sql,server,data,done,success,tick,approve,ok,complete"
"database-export","Database","db,storage,repo,sql,server,data"
"database-monitor","Database","db,storage,repo,sql,server,data"
"database-restore","Database","db,storage,repo,sql,server,data"
"database-script","Database","db,storage,repo,sql,server,data"
"database-script-minus","Database","remove,db,sql,storage,server,data,subtract,delete,collapse"
"database-script-plus","Database","db,sql,storage,server,data,add,new,create,increase"
"database-search","Database","db,storage,repo,sql,server,data,find,magnify,lookup,query"
"database-settings","Database","db,storage,repo,sql,server,data,gear,preferences,options,config"
"database-star","Database","db,storage,repo,sql,server,data,favorite,rating,review,bookmark"
"database-stats","Database","db,storage,repo,sql,server,data,chart,analytics,metrics,graph"
"database-tag","Database","db,storage,repo,sql,server,data,label,badge,chip,price"
"database-warning","Database","db,storage,repo,sql,server,data,alert,caution,danger,attention"
"database-xmark","Database","db,storage,repo,error,sql,server,data,close,cancel,delete,remove,dismiss,clear,wrong"
"de-compress","Other","squeeze,zip,shrink,minimize"
"delivery","Transport","ship,shipment,amazon,shipping,parcel,courier,package"
